Distance_m,SNR_linear,BER
830.0,2.977700e+01,3.478066e-08
840.0,2.907224e+01,2.779535e-08
850.0,2.839221e+01,7.599855e-08
860.0,2.773577e+01,7.746798e-08
870.0,2.710183e+01,8.342524e-08
880.0,2.648938e+01,8.771867e-08
890.0,2.589745e+01,1.556059e-07
900.0,2.532515e+01,1.546049e-07
910.0,2.477161e+01,2.671319e-07
920.0,2.423603e+01,6.320184e-07
930.0,2.371762e+01,1.589726e-06
940.0,2.321568e+01,1.859816e-06
950.0,2.272950e+01,1.948177e-06
960.0,2.225843e+01,2.103849e-06
970.0,2.180186e+01,2.320602e-06
980.0,2.135920e+01,2.658437e-06
990.0,2.092988e+01,4.386949e-06
1000.0,2.051337e+01,3.217086e-06
1010.0,2.010918e+01,4.771493e-06
1020.0,1.971681e+01,5.850904e-06
1030.0,1.933582e+01,5.952510e-06
1040.0,1.896577e+01,6.165216e-06
1050.0,1.860623e+01,8.764592e-06
1060.0,1.825683e+01,9.515542e-06
1070.0,1.791717e+01,1.451437e-05
1080.0,1.758691e+01,1.386964e-05
1090.0,1.726570e+01,1.611288e-05
1100.0,1.695320e+01,2.046209e-05
1110.0,1.664911e+01,2.119256e-05
1120.0,1.635314e+01,2.834761e-05
1130.0,1.606498e+01,3.038240e-05
1140.0,1.578437e+01,3.552239e-05
1150.0,1.551106e+01,3.603558e-05
1160.0,1.524478e+01,4.036177e-05
1170.0,1.498530e+01,5.143559e-05
1180.0,1.473239e+01,5.672041e-05
1190.0,1.448582e+01,6.040610e-05
1200.0,1.424540e+01,7.018143e-05
1210.0,1.401091e+01,7.054994e-05
1220.0,1.378216e+01,7.312795e-05
1230.0,1.355897e+01,9.530744e-05
1240.0,1.334116e+01,1.154074e-04
1250.0,1.312856e+01,1.431623e-04
1260.0,1.292100e+01,1.598873e-04
1270.0,1.271832e+01,2.078070e-04
1280.0,1.252037e+01,3.035812e-04
1290.0,1.232701e+01,3.369662e-04
1300.0,1.213809e+01,3.586694e-04
1310.0,1.195348e+01,3.683297e-04
1320.0,1.177306e+01,3.904142e-04
1330.0,1.159668e+01,4.004214e-04
1340.0,1.142424e+01,4.132508e-04
1350.0,1.125562e+01,4.748363e-04
1360.0,1.109071e+01,5.429310e-04
1370.0,1.092939e+01,5.702150e-04
1380.0,1.077157e+01,5.882294e-04
1390.0,1.061714e+01,5.908502e-04
1400.0,1.046601e+01,6.152773e-04
1410.0,1.031808e+01,6.448713e-04
1420.0,1.017327e+01,7.517366e-04
1430.0,1.003148e+01,7.702089e-04
1440.0,9.892638e+00,9.325939e-04
1450.0,9.756658e+00,9.217469e-04
1460.0,9.623463e+00,1.199325e-03
1470.0,9.492977e+00,1.399116e-03
1480.0,9.365127e+00,1.469929e-03
