Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190626,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190714,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200831,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200926,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210530,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210611,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220601,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220806,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140622,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140711,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140730,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150619,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150727,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150801,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160512,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160828,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180619,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190617,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190909,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190916,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200513,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200527,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200712,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200803,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220618,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220902,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220904,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220912,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230828,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230906,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140513,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140906,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150403,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150716,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150802,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150828,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160528,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160709,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160729,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160912,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20161004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20161024,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170711,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170905,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180407,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180712,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180816,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200521,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200922,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20201014,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20201030,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210812,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210915,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220112,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140720,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150922,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160623,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160707,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20161104,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170710,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170724,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170802,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170821,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180623,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180806,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190531,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200423,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200727,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200917,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200927,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210623,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210707,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210803,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210806,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210831,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20211206,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230815,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230822,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140630,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140721,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140816,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150602,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160524,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160730,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160930,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170726,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170826,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170907,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170919,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180419,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180429,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180726,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180820,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180920,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190922,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20191006,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200812,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200828,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210511,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210610,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210612,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210622,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210726,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220511,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220731,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220804,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220907,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230319,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230620,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230621,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140618,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140621,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140629,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140825,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140829,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20141013,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150101,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150612,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150808,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150823,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150905,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150921,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160924,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20161007,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171001,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180414,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180422,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190402,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200612,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200806,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200829,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200913,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210825,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220619,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230619,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230704,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230813,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230911,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
