Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20221001,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200914,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140727,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160626,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180801,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190630,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200709,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160821,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171021,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230618,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150918,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150919,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170609,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170617,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140828,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220723,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140819,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150909,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200604,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200721,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150923,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160825,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160901,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170614,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170717,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160607,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160708,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200720,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230630,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230917,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20151008,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160403,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170810,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180911,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190503,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200711,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20201023,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210805,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220905,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20221009,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140922,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150710,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150913,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160520,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220801,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20221008,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140827,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180811,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190715,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140918,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150613,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160716,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170805,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190628,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230721,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150511,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150714,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150831,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160330,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160416,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170608,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170712,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
